chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\test\java\org\jfree\chart\block\ColumnArrangementTest.java, ColumnArrangementTest, 100, 42, 0.42, 4.0, 0.105
src\test\java\org\jfree\chart\block\EmptyBlockTest.java, EmptyBlockTest, 89, 42, 0.47191011235955055, 4.0, 0.11797752808988764
src\test\java\org\jfree\chart\block\FlowArrangementTest.java, FlowArrangementTest, 100, 42, 0.42, 4.0, 0.105
src\test\java\org\jfree\chart\block\GridArrangementTest.java, GridArrangementTest, 268, 87, 0.3246268656716418, 20.0, 0.01623134328358209
src\test\java\org\jfree\chart\block\LabelBlockTest.java, LabelBlockTest, 120, 42, 0.35, 4.0, 0.0875
src\test\java\org\jfree\chart\block\LineBorderTest.java, LineBorderTest, 97, 42, 0.4329896907216495, 4.0, 0.10824742268041238
src\test\java\org\jfree\chart\block\RectangleConstraintTest.java, RectangleConstraintTest, 118, 45, 0.3813559322033898, 2.0, 0.1906779661016949
src\test\java\org\jfree\chart\entity\CategoryItemEntityTest.java, CategoryItemEntityTest, 111, 42, 0.3783783783783784, 4.0, 0.0945945945945946
src\test\java\org\jfree\chart\entity\CategoryLabelEntityTest.java, CategoryLabelEntityTest, 97, 42, 0.4329896907216495, 4.0, 0.10824742268041238
src\test\java\org\jfree\chart\entity\FlowEntityTest.java, FlowEntityTest, 94, 44, 0.46808510638297873, 4.0, 0.11702127659574468
src\test\java\org\jfree\chart\entity\LegendItemEntityTest.java, LegendItemEntityTest, 100, 42, 0.42, 4.0, 0.105
src\test\java\org\jfree\chart\entity\PieSectionEntityTest.java, PieSectionEntityTest, 112, 42, 0.375, 4.0, 0.09375
src\test\java\org\jfree\chart\entity\StandardEntityCollectionTest.java, StandardEntityCollectionTest, 100, 43, 0.43, 4.0, 0.1075
src\test\java\org\jfree\chart\entity\TickLabelEntityTest.java, TickLabelEntityTest, 91, 42, 0.46153846153846156, 4.0, 0.11538461538461539
src\test\java\org\jfree\chart\entity\XYItemEntityTest.java, XYItemEntityTest, 104, 42, 0.40384615384615385, 4.0, 0.10096153846153846
src\test\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGeneratorTest.java, DynamicDriveToolTipTagFragmentGeneratorTest, 61, 40, 0.6557377049180327, 2.0, 0.32786885245901637
src\test\java\org\jfree\chart\imagemap\ImageMapUtilsTest.java, ImageMapUtilsTest, 107, 43, 0.40186915887850466, 6.0, 0.06697819314641744
src\test\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGeneratorTest.java, OverLIBToolTipTagFragmentGeneratorTest, 61, 40, 0.6557377049180327, 2.0, 0.32786885245901637
src\test\java\org\jfree\chart\imagemap\StandardToolTipTagFragmentGeneratorTest.java, StandardToolTipTagFragmentGeneratorTest, 59, 40, 0.6779661016949152, 2.0, 0.3389830508474576
src\test\java\org\jfree\chart\imagemap\StandardURLTagFragmentGeneratorTest.java, StandardURLTagFragmentGeneratorTest, 60, 42, 0.7, 2.0, 0.35
src\test\java\org\jfree\chart\internal\ArgsTest.java, ArgsTest, 54, 33, 0.6111111111111112, 2.0, 0.3055555555555556
src\test\java\org\jfree\chart\internal\CloneUtilsTest.java, CloneUtilsTest, 78, 43, 0.5512820512820513, 3.0, 0.18376068376068377
src\test\java\org\jfree\chart\internal\HashUtilsTest.java, HashUtilsTest, 57, 36, 0.631578947368421, 2.0, 0.3157894736842105
src\test\java\org\jfree\chart\internal\LineUtilsTest.java, LineUtilsTest, 120, 37, 0.30833333333333335, 7.0, 0.04404761904761905
src\test\java\org\jfree\chart\internal\SerialUtilsTest.java, SerialUtilsTest, 110, 33, 0.3, 5.0, 0.06
src\test\java\org\jfree\chart\internal\ShapeUtilsTest.java, ShapeUtilsTest, 120, 52, 0.43333333333333335, 6.0, 0.07222222222222223
src\test\java\org\jfree\chart\labels\BoxAndWhiskerToolTipGeneratorTest.java, BoxAndWhiskerToolTipGeneratorTest, 111, 51, 0.4594594594594595, 6.0, 0.07657657657657659
src\test\java\org\jfree\chart\labels\BoxAndWhiskerXYToolTipGeneratorTest.java, BoxAndWhiskerXYToolTipGeneratorTest, 131, 52, 0.3969465648854962, 6.0, 0.06615776081424936
src\test\java\org\jfree\chart\labels\BubbleXYItemLabelGeneratorTest.java, BubbleXYItemLabelGeneratorTest, 166, 54, 0.3253012048192771, 7.0, 0.04647160068846816
src\test\java\org\jfree\chart\labels\CustomXYItemLabelGeneratorTest.java, CustomXYItemLabelGeneratorTest, 87, 43, 0.4942528735632184, 4.0, 0.1235632183908046
src\test\java\org\jfree\chart\labels\HighLowItemLabelGeneratorTest.java, HighLowItemLabelGeneratorTest, 109, 48, 0.44036697247706424, 6.0, 0.07339449541284404
src\test\java\org\jfree\chart\labels\IntervalCategoryItemLabelGeneratorTest.java, IntervalCategoryItemLabelGeneratorTest, 117, 48, 0.41025641025641024, 6.0, 0.06837606837606837
src\test\java\org\jfree\chart\labels\IntervalCategoryToolTipGeneratorTest.java, IntervalCategoryToolTipGeneratorTest, 131, 51, 0.3893129770992366, 7.0, 0.05561613958560523
src\test\java\org\jfree\chart\labels\ItemLabelAnchorTest.java, ItemLabelAnchorTest, 61, 39, 0.639344262295082, 3.0, 0.21311475409836067
src\test\java\org\jfree\chart\labels\ItemLabelPositionTest.java, ItemLabelPositionTest, 67, 44, 0.6567164179104478, 3.0, 0.21890547263681592
src\test\java\org\jfree\chart\labels\MultipleXYSeriesLabelGeneratorTest.java, MultipleXYSeriesLabelGeneratorTest, 113, 50, 0.4424778761061947, 6.0, 0.07374631268436578
src\test\java\org\jfree\chart\labels\StandardCategoryItemLabelGeneratorTest.java, StandardCategoryItemLabelGeneratorTest, 157, 55, 0.3503184713375796, 8.0, 0.04378980891719745
src\test\java\org\jfree\chart\labels\StandardCategorySeriesLabelGeneratorTest.java, StandardCategorySeriesLabelGeneratorTest, 121, 51, 0.4214876033057851, 7.0, 0.0602125147579693
src\test\java\org\jfree\chart\labels\StandardCategoryToolTipGeneratorTest.java, StandardCategoryToolTipGeneratorTest, 136, 51, 0.375, 7.0, 0.05357142857142857
src\test\java\org\jfree\chart\labels\StandardFlowLabelGeneratorTest.java, StandardFlowLabelGeneratorTest, 64, 39, 0.609375, 3.0, 0.203125
src\test\java\org\jfree\chart\labels\StandardPieSectionLabelGeneratorTest.java, StandardPieSectionLabelGeneratorTest, 137, 48, 0.35036496350364965, 6.0, 0.05839416058394161
src\test\java\org\jfree\chart\labels\StandardPieToolTipGeneratorTest.java, StandardPieToolTipGeneratorTest, 128, 48, 0.375, 6.0, 0.0625
src\test\java\org\jfree\chart\labels\StandardXYItemLabelGeneratorTest.java, StandardXYItemLabelGeneratorTest, 160, 52, 0.325, 6.0, 0.05416666666666667
src\test\java\org\jfree\chart\labels\StandardXYSeriesLabelGeneratorTest.java, StandardXYSeriesLabelGeneratorTest, 120, 51, 0.425, 7.0, 0.060714285714285714
src\test\java\org\jfree\chart\labels\StandardXYToolTipGeneratorTest.java, StandardXYToolTipGeneratorTest, 137, 49, 0.35766423357664234, 6.0, 0.05961070559610706
